date,ticker,open,high,low,close,volume,close_usd,usdcad,fx_series,daily_return,extreme_move,company_name,sector,in_portfolio
2016-03-02,NVDA,1.074166,1.090305,1.07215,1.086403,221523059,0.806655,1.3468,IEXE0101 (noon),0.010453288986610465,False,NVIDIA Corporation,Technology,True
2016-03-03,NVDA,1.080131,1.084684,1.057575,1.071925,207787570,0.799526,1.3407,IEXE0101 (noon),-0.013326546410494022,False,NVIDIA Corporation,Technology,True
2016-03-04,NVDA,1.074491,1.075505,1.055009,1.063054,164096288,0.797071,1.3337,IEXE0101 (noon),-0.008275765561956416,False,NVIDIA Corporation,Technology,True
2016-03-07,NVDA,1.054312,1.061485,1.039518,1.053354,184693173,0.791936,1.3301,IEXE0101 (noon),-0.009124654062728776,False,NVIDIA Corporation,Technology,True
2016-03-08,NVDA,1.04951,1.05582,1.037534,1.041007,223214470,0.777509,1.3389,IEXE0101 (noon),-0.011721605462171159,False,NVIDIA Corporation,Technology,True
2016-03-09,NVDA,1.038179,1.039632,1.015158,1.028453,212620773,0.777012,1.3236,IEXE0101 (noon),-0.012059477025610721,False,NVIDIA Corporation,Technology,True
2016-03-10,NVDA,1.045279,1.051221,1.016515,1.037468,292065347,0.775793,1.3373,IEXE0101 (noon),0.008765592593924953,False,NVIDIA Corporation,Technology,True
2016-03-11,NVDA,1.040449,1.043089,1.028138,1.042759,261150615,0.789072,1.3215,IEXE0101 (noon),0.005099916334768917,False,NVIDIA Corporation,Technology,True
2016-03-14,NVDA,1.043978,1.055645,1.039026,1.051528,194292679,0.791039,1.3293,IEXE0101 (noon),0.008409421544191886,False,NVIDIA Corporation,Technology,True
2016-03-15,NVDA,1.051121,1.057947,1.032727,1.051453,230945211,0.787075,1.3359,IEXE0101 (noon),-7.132477689619776e-05,False,NVIDIA Corporation,Technology,True
2016-03-16,NVDA,1.043791,1.086646,1.038908,1.083042,371243664,0.810539,1.3362,IEXE0101 (noon),0.03004318785528226,False,NVIDIA Corporation,Technology,True
2016-03-17,NVDA,1.048593,1.053676,1.029314,1.043511,361070964,0.80369,1.2984,IEXE0101 (noon),-0.03649996953026746,False,NVIDIA Corporation,Technology,True
2016-03-18,NVDA,1.055743,1.088757,1.049081,1.074889,556914494,0.827984,1.2982,IEXE0101 (noon),0.030069639898381517,False,NVIDIA Corporation,Technology,True
2016-03-21,NVDA,1.072449,1.085591,1.060901,1.08529,344841948,0.830431,1.3069,IEXE0101 (noon),0.009676347976395716,False,NVIDIA Corporation,Technology,True
2016-03-22,NVDA,1.080276,1.089307,1.068368,1.08188,247069120,0.828963,1.3051,IEXE0101 (noon),-0.003142017340987291,False,NVIDIA Corporation,Technology,True
2016-03-23,NVDA,1.099228,1.121279,1.09448,1.1132,437974021,0.843142,1.3203,IEXE0101 (noon),0.02894960624098797,False,NVIDIA Corporation,Technology,True
2016-03-24,NVDA,1.108654,1.122394,1.10504,1.120409,250074218,0.844381,1.3269,IEXE0101 (noon),0.006475925260510218,False,NVIDIA Corporation,Technology,True
2016-03-28,NVDA,1.111257,1.129265,1.109979,1.124565,234044961,0.852977,1.3184,IEXE0101 (noon),0.0037093597070356754,False,NVIDIA Corporation,Technology,True
2016-03-29,NVDA,1.117118,1.142549,1.114584,1.139948,248362197,0.866617,1.3154,IEXE0101 (noon),0.013679067017024371,False,NVIDIA Corporation,Technology,True
2016-03-30,NVDA,1.12745,1.150604,1.126841,1.135088,358716014,0.875704,1.2962,IEXE0101 (noon),-0.0042633523634409976,False,NVIDIA Corporation,Technology,True
2016-03-31,NVDA,1.140991,1.143503,1.122793,1.131768,370402300,0.872537,1.2971,IEXE0101 (noon),-0.002924883357061314,False,NVIDIA Corporation,Technology,True
2016-04-01,NVDA,1.1313,1.155621,1.122676,1.15497,290424562,0.885238,1.3047,IEXE0101 (noon),0.020500667981423693,False,NVIDIA Corporation,Technology,True
2016-04-04,NVDA,1.163629,1.169629,1.138416,1.142882,348996390,0.876712,1.3036,IEXE0101 (noon),-0.010466072711845409,False,NVIDIA Corporation,Technology,True
2016-04-05,NVDA,1.144268,1.16361,1.139703,1.152986,305779064,0.875464,1.317,IEXE0101 (noon),0.008840807712432452,False,NVIDIA Corporation,Technology,True
2016-04-06,NVDA,1.130376,1.147116,1.108974,1.146476,433713651,0.876712,1.3077,IEXE0101 (noon),-0.005646209060647722,False,NVIDIA Corporation,Technology,True
2016-04-07,NVDA,1.146575,1.156962,1.137152,1.142015,351015579,0.867595,1.3163,IEXE0101 (noon),-0.00389105397758005,False,NVIDIA Corporation,Technology,True
2016-04-08,NVDA,1.136717,1.143998,1.123442,1.134835,242583205,0.873286,1.2995,IEXE0101 (noon),-0.006287132831004794,False,NVIDIA Corporation,Technology,True
2016-04-11,NVDA,1.134342,1.153281,1.130797,1.134652,372106911,0.87869,1.2913,IEXE0101 (noon),-0.00016125692281265813,False,NVIDIA Corporation,Technology,True
2016-04-12,NVDA,1.128339,1.12991,1.101336,1.123357,267839644,0.877691,1.2799,IEXE0101 (noon),-0.009954594007678175,False,NVIDIA Corporation,Technology,True
2016-04-13,NVDA,1.127722,1.151252,1.127722,1.150932,341422112,0.899728,1.2792,IEXE0101 (noon),0.024546960583323063,False,NVIDIA Corporation,Technology,True
2016-04-14,NVDA,1.151684,1.162938,1.147006,1.157995,376793275,0.902146,1.2836,IEXE0101 (noon),0.006136765682073442,False,NVIDIA Corporation,Technology,True
2016-04-15,NVDA,1.159671,1.179491,1.155971,1.169026,414792954,0.909182,1.2858,IEXE0101 (noon),0.009525947866786844,False,NVIDIA Corporation,Technology,True
2016-04-18,NVDA,1.162954,1.162954,1.148878,1.160064,281773810,0.905239,1.2815,IEXE0101 (noon),-0.007666211016692404,False,NVIDIA Corporation,Technology,True
2016-04-19,NVDA,1.150055,1.152228,1.118197,1.125351,289553423,0.889184,1.2656,IEXE0101 (noon),-0.029923349056603765,False,NVIDIA Corporation,Technology,True
2016-04-20,NVDA,1.120867,1.133878,1.119642,1.12712,189828846,0.892627,1.2627,IEXE0101 (noon),0.0015719539947980365,False,NVIDIA Corporation,Technology,True
2016-04-21,NVDA,1.13482,1.140062,1.128235,1.133288,157355332,0.891651,1.271,IEXE0101 (noon),0.005472354318972306,False,NVIDIA Corporation,Technology,True
2016-04-22,NVDA,1.133758,1.14158,1.121786,1.125673,204448744,0.888175,1.2674,IEXE0101 (noon),-0.006719386422515905,False,NVIDIA Corporation,Technology,True
2016-04-25,NVDA,1.126536,1.138003,1.123429,1.131851,176313976,0.892627,1.268,IEXE0101 (noon),0.005488272349074785,False,NVIDIA Corporation,Technology,True
