date,portfolio_value,value_AAPL,value_MSFT,value_NVDA,value_AMZN,value_TSLA,value_RY,value_TD,profit_loss_cad,profit_loss_status,profit_loss_AAPL,profit_loss_MSFT,profit_loss_NVDA,profit_loss_AMZN,profit_loss_TSLA,profit_loss_RY,profit_loss_TD,portfolio_daily_return,portfolio_drawdown_pct
2020-01-10,1501061.9363,229066.4754,201133.9407,476591.8096,240591.4387,298585.7501,27737.8077,27354.7141,1401061.9363,Profit,209066.4754,181133.9407,461591.8096,225591.4387,288585.7501,17737.8077,17354.7141,-0.0036,-0.3618
2020-01-13,1553400.836,233916.8098,203545.5266,491404.8004,241575.8569,327672.3718,27863.5027,27421.9678,1453400.836,Profit,213916.8098,183545.5266,476404.8004,226575.8569,317672.3718,17863.5027,17421.9678,0.0349,0.0
2020-01-14,1546575.1764,231001.5659,202300.1735,482755.6093,239039.8827,336180.0201,27973.1594,27324.7656,1446575.1764,Profit,211001.5659,182300.1735,467755.6093,224039.8827,326180.0201,17973.1594,17324.7656,-0.0044,-0.4394
2020-01-15,1529414.9864,229794.8177,203450.2972,478996.514,237872.3763,323757.8904,28034.1455,27508.9454,1429414.9864,Profit,209794.8177,183450.2972,463996.514,222872.3763,313757.8904,18034.1455,17508.9454,-0.0111,-1.5441
2020-01-16,1541354.474,232586.3698,207073.8635,485350.8049,239814.2334,320512.3623,28273.5742,27743.2659,1441354.474,Profit,212586.3698,187073.8635,470350.8049,224814.2334,310512.3623,18273.5742,17743.2659,0.0078,-0.7755
2020-01-17,1544292.7191,235472.7771,208516.5452,486671.8163,238436.3503,319055.0853,28341.2692,27798.8757,1444292.7191,Profit,215472.7771,188516.5452,471671.8163,223436.3503,309055.0853,18341.2692,17798.8757,0.0019,-0.5863
2020-01-21,1566286.1274,233965.2451,207844.6313,484224.6072,242017.1716,342123.302,28404.5511,27706.6191,1466286.1274,Profit,213965.2451,187844.6313,469224.6072,227017.1716,332123.302,18404.5511,17706.6191,0.0142,0.0
2020-01-22,1589375.9463,235679.3508,207600.9321,490194.0733,242341.7967,357432.4182,28371.7473,27755.6279,1489375.9463,Profit,215679.3508,187600.9321,475194.0733,227341.7967,347432.4182,18371.7473,17755.6279,0.0147,0.0
2020-01-23,1602084.3616,237299.0352,209334.4059,496701.994,242470.1298,359835.0117,28590.7015,27853.0836,1502084.3616,Profit,217299.0352,189334.4059,481701.994,227470.1298,349835.0117,18590.7015,17853.0836,0.008,0.0
2020-01-24,1586466.6712,236561.9669,207146.1313,491941.3938,239463.9958,355099.7301,28426.3542,27827.0991,1486466.6712,Profit,216561.9669,187146.1313,476941.3938,224463.9958,345099.7301,18426.3542,17827.0991,-0.0097,-0.9748
2020-01-27,1551861.2571,230345.9976,204349.5994,473252.0592,235932.3126,351946.1197,28307.5433,27727.6254,1451861.2571,Profit,210345.9976,184349.5994,458252.0592,220932.3126,341946.1197,18307.5433,17727.6254,-0.0218,-3.1349
2020-01-28,1586452.93,236805.2045,208301.938,488438.288,239092.3198,357477.9069,28461.3758,27875.8972,1486452.93,Profit,216805.2045,188301.938,473438.288,224092.3198,347477.9069,18461.3758,17875.8972,0.0223,-0.9757
2020-01-29,1601209.4003,242071.436,211827.3455,484299.9512,240014.3315,366841.7389,28416.6757,27737.9216,1501209.4003,Profit,222071.436,191827.3455,469299.9512,225014.3315,356841.7389,18416.6757,17737.9216,0.0093,-0.0546
2020-01-30,1649319.1765,242103.4447,218161.5278,485593.5867,242036.8833,405243.5099,28458.3937,27721.8305,1549319.1765,Profit,222103.4447,198161.5278,470593.5867,227036.8833,395243.5099,18458.3937,17721.8305,0.03,0.0
2020-01-31,1642114.2314,231664.1123,215198.1108,467617.6487,260211.7329,411907.4708,28087.1073,27428.0488,1542114.2314,Profit,211664.1123,195198.1108,452617.6487,245211.7329,401907.4708,18087.1073,17428.0488,-0.0044,-0.4368
2020-02-03,1741138.6965,231754.3195,221148.7813,476853.9227,260450.2302,495438.5632,28112.0277,27380.8518,1641138.6965,Profit,211754.3195,201148.7813,461853.9227,245450.2302,485438.5632,18112.0277,17380.8518,0.0603,0.0
2020-02-04,1844874.6947,239458.2711,228479.396,490443.8192,266420.651,563561.9758,28600.2968,27910.2848,1744874.6947,Profit,219458.2711,208479.396,475443.8192,251420.651,553561.9758,18600.2968,17910.2848,0.0596,0.0
2020-02-05,1757541.473,241599.5013,228383.3156,498077.3972,265366.4904,467157.1674,28745.57,28212.0313,1657541.473,Profit,221599.5013,208383.3156,483077.3972,250366.4904,457157.1674,18745.57,18212.0313,-0.0473,-4.7338
2020-02-06,1782838.0627,244454.0688,233120.6005,504988.5133,266734.2847,476253.8299,28908.517,28378.2484,1682838.0627,Profit,224454.0688,213120.6005,489988.5133,251734.2847,466253.8299,18908.517,18378.2484,0.0144,-3.3626
2020-02-07,1779745.6713,241403.6996,233719.9179,500304.2177,270817.6799,476218.4107,28844.9507,28436.7948,1679745.6713,Profit,221403.6996,213719.9179,485304.2177,255817.6799,466218.4107,18844.9507,18436.7948,-0.0017,-3.5303
2020-02-10,1833380.2396,242801.8079,240099.668,523471.5074,278226.7672,491536.3332,28878.432,28365.7239,1733380.2396,Profit,222801.8079,220099.668,508471.5074,263226.7672,481536.3332,18878.432,18365.7239,0.0301,-0.623
2020-02-11,1837016.4556,240858.4512,234205.7844,532212.7923,279859.155,492511.7938,28990.9092,28377.5697,1737016.4556,Profit,220858.4512,214205.7844,517212.7923,264859.155,482511.7938,18990.9092,18377.5697,0.002,-0.4259
2020-02-12,1843811.4795,245863.3504,233884.372,539906.3453,280252.7452,486600.5077,29047.2549,28256.904,1743811.4795,Profit,225863.3504,213884.372,524906.3453,265252.7452,476600.5077,19047.2549,18256.904,0.0037,-0.0576
2020-02-13,1859391.4037,244148.7285,232627.4741,536498.8753,278981.7998,509951.9059,29080.1906,28102.4294,1759391.4037,Profit,224148.7285,212627.4741,521498.8753,263981.7998,499951.9059,19080.1906,18102.4294,0.0084,0.0
2020-02-14,1893925.4585,244081.0438,234609.9496,573830.2969,276889.0161,507178.8998,29100.436,28235.8164,1793925.4585,Profit,224081.0438,214609.9496,558830.2969,261889.0161,497178.8998,19100.436,18235.8164,0.0186,0.0
2020-02-18,1946116.2766,239778.2244,237113.0936,587644.4844,279776.6493,544538.5775,29010.2505,28254.9969,1846116.2766,Profit,219778.2244,217113.0936,572644.4844,264776.6493,534538.5775,19010.2505,18254.9969,0.0276,0.0
2020-02-19,2021650.9528,242750.4302,237353.0545,622336.8847,281090.125,580780.5723,28993.3409,28346.5451,1921650.9528,Profit,222750.4302,217353.0545,607336.8847,266090.125,570780.5723,18993.3409,18346.5451,0.0388,0.0
2020-02-20,1993566.5306,240685.4794,234157.0685,611523.7299,279357.4934,570375.0563,29001.4981,28466.2051,1893566.5306,Profit,220685.4794,214157.0685,596523.7299,264357.4934,560375.0563,19001.4981,18466.2051,-0.0139,-1.3892
2020-02-21,1941355.4613,234697.1538,226221.5034,581216.0502,271328.234,570096.7264,29369.4003,28426.3932,1841355.4613,Profit,214697.1538,206221.5034,566216.0502,256328.234,560096.7264,19369.4003,18426.3932,-0.0262,-3.9718
2020-02-24,1832303.6139,224480.7631,217383.8425,542406.6855,261189.0655,529771.0203,29059.7218,28012.5153,1732303.6139,Profit,204480.7631,197383.8425,527406.6855,246189.0655,519771.0203,19059.7218,18012.5153,-0.0562,-9.366
2020-02-25,1771656.3798,216904.5788,213824.5218,520147.3661,256477.8039,508308.5542,28485.2921,27508.2629,1671656.3798,Profit,196904.5788,193824.5218,505147.3661,241477.8039,498308.5542,18485.2921,17508.2629,-0.0331,-12.3659
2020-02-26,1779129.3218,220781.1888,216907.8878,532334.0631,257872.2249,495868.7902,27933.1774,27431.9895,1679129.3218,Profit,200781.1888,196907.8878,517334.0631,242872.2249,485868.7902,17933.1774,17431.9895,0.0042,-11.9962
2020-02-27,1648246.8547,207186.498,202457.9048,504716.0742,246455.3056,434079.9577,27291.5265,26059.5879,1548246.8547,Profit,187186.498,182457.9048,489716.0742,231455.3056,424079.9577,17291.5265,16059.5879,-0.0736,-18.4703
2020-02-28,1688660.2826,208116.5007,208399.9401,542408.1864,247637.3216,429220.533,26882.0228,25995.7781,1588660.2826,Profit,188116.5007,188399.9401,527408.1864,232637.3216,419220.533,16882.0228,15995.7781,0.0245,-16.4712
2020-03-02,1783817.8731,226249.3741,221065.4971,552132.5454,255469.4745,475199.7149,27551.2877,26149.9793,1683817.8731,Profit,206249.3741,201065.4971,537132.5454,240469.4745,465199.7149,17551.2877,16149.9793,0.0564,-11.7643
2020-03-03,1739960.6642,219187.8701,210557.5225,531369.2997,249721.9861,476663.9322,27012.8954,25447.1583,1639960.6642,Profit,199187.8701,190557.5225,516369.2997,234721.9861,466663.9322,17012.8954,15447.1583,-0.0246,-13.9337
2020-03-04,1810700.6678,229853.7389,218789.6426,569806.6871,259026.4864,480261.8008,27218.5284,25743.7835,1710700.6678,Profit,209853.7389,198789.6426,554806.6871,244026.4864,470261.8008,17218.5284,15743.7835,0.0407,-10.4346
2020-03-05,1754492.6665,222770.726,213666.6706,548299.3668,252668.8325,465071.165,26796.5718,25219.3338,1654492.6665,Profit,202770.726,193666.6706,533299.3668,237668.8325,455071.165,16796.5718,15219.3338,-0.031,-13.2149
2020-03-06,1713917.6969,219913.1223,207712.804,533981.7854,249767.9505,451761.9541,26224.0129,24556.0678,1613917.6969,Profit,199913.1223,187712.804,518981.7854,234767.9505,441761.9541,16224.0129,14556.0678,-0.0231,-15.2219
2020-03-09,1581148.5958,205188.8213,196204.1013,499159.7093,239686.6541,395584.1948,23908.7802,21416.3348,1481148.5958,Profit,185188.8213,176204.1013,484159.7093,224686.6541,385584.1948,13908.7802,11416.3348,-0.0775,-21.7892
2020-03-10,1695576.0958,222125.9883,211641.1083,536108.7675,254291.0864,423992.1525,24833.0405,22583.9523,1595576.0958,Profit,202125.9883,191641.1083,521108.7675,239291.0864,413992.1525,14833.0405,12583.9523,0.0724,-16.1291
2020-03-11,1631021.8735,214633.9835,202269.2197,506664.1519,245002.4682,417124.3606,23613.1834,21714.5062,1531021.8735,Profit,194633.9835,182269.2197,491664.1519,230002.4682,407124.3606,13613.1834,11714.5062,-0.0381,-19.3223
2020-03-12,1463799.5747,194491.3005,184094.3044,447089.6203,226824.1297,370666.2762,21242.1671,19391.7764,1363799.5747,Profit,174491.3005,164094.3044,432089.6203,211824.1297,360666.2762,11242.1671,9391.7764,-0.1025,-27.5939
2020-03-13,1584562.5903,219067.4163,211508.2123,500700.0288,242903.3038,363560.2102,24183.908,22639.5109,1484562.5903,Profit,199067.4163,191508.2123,485700.0288,227903.3038,353560.2102,14183.908,12639.5109,0.0825,-21.6204
2020-03-16,1354333.8272,191752.9375,181133.9217,410135.1589,230901.7454,297370.8167,22480.876,20558.3711,1254333.8272,Profit,171752.9375,161133.9217,395135.1589,215901.7454,287370.8167,12480.876,10558.3711,-0.1453,-33.0085
2020-03-17,1450849.6871,203213.3175,199030.7881,460612.3376,250860.4615,291779.0788,23788.0223,21565.6814,1350849.6871,Profit,183213.3175,179030.7881,445612.3376,235860.4615,281779.0788,13788.0223,11565.6814,0.0713,-28.2344
2020-03-18,1390029.3339,202719.7753,194966.8861,439691.74,259685.9349,250541.7096,21794.0059,20629.282,1290029.3339,Profit,182719.7753,174966.8861,424691.74,244685.9349,240541.7096,11794.0059,10629.282,-0.0419,-31.2429
2020-03-19,1466858.3454,201150.5089,198131.1672,461677.6598,266894.7382,296590.1367,22064.9774,20349.1571,1366858.3454,Profit,181150.5089,178131.1672,446677.6598,251894.7382,286590.1367,12064.9774,10349.1571,0.0553,-27.4426
2020-03-20,1408872.3975,186264.0176,188565.6026,441015.5731,259005.4043,293179.8141,21000.1992,19841.7866,1308872.3975,Profit,166264.0176,168565.6026,426015.5731,244005.4043,283179.8141,11000.1992,9841.7866,-0.0395,-30.3108
2020-03-23,1441895.6801,184218.83,188631.3265,460663.6676,269760.0852,300932.814,19311.9313,18377.0256,1341895.6801,Profit,164218.83,168631.3265,445663.6676,254760.0852,290932.814,9311.9313,8377.0256,0.0234,-28.6773
2020-03-24,1617063.0826,202819.8583,205896.3286,540018.7309,275214.7029,350147.3469,21953.7266,21012.3884,1517063.0826,Profit,182819.8583,185896.3286,525018.7309,260214.7029,340147.3469,11953.7266,11012.3884,0.1215,-20.0127
